,A4,A5,A6,A9,A9_2_TEXT,B2,B5,B6,B6_8_TEXT,B8,B9,B9_9_TEXT,B10,B11,B11_1_TEXT,B12,B13,B14,B15,B15_1_TEXT,B16,B17,B17_1_TEXT,B18,C1,C2,C3,C4,C5,C6,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D11_1_TEXT,D11_2_TEXT,D11_3_TEXT,D12,D13,D14_NPS_GROUP,D14,D15,E1,E2,E3,E3_6_TEXT,E4_NPS_GROUP,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F7_1_TEXT,F8,F8_1_TEXT,B3_B4_Combined,Distribution,Logistics/ Transport,Production,Aggregation (group buying for reselling),Processing,Agri-Services - Inputs supply,B13_Combined,D3_Combined
271,Married,University,1985,Côte d'Ivoire,,Economic Interest Group,3.0,2,,PRODUCTION DE PRODUITS MARAICHERS MANIOC ET ANANAS PAIN DE SUCRE,Abidjan ,,No,No,,Local Markets ,Between 1 and 5 millions,Ananas pain sucre,"Yes, specify",tomate,directrice,Oui,Societe Cooperative,Registre de commerce,,,ATTREY SERVICES,Yes,Tricycle et pick up,La certification ,"Agri - Equipment (financing for equipment),Operational loan (working capital) ,Insurance",Between 1 and 5 millions,"February ,March ",Between 3 months and a year,Every trimester,Charges ,No,,,,,,,Yes,Ecobank,Detractor,4,Lorsque vous exprimez un besoin il ne cherche ps véritablement à comprendre l'activité surtout dans le domaine agricole. On laisse espérer et après on vous dit qu'on ne peut vous financer entre temps la bonne période de production est passé.,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay producers/ farmers,Pay business suppliers",,Passive,7,,20,"Technical partnerships, Access to markets, Access to new buyers",Constitution d’un dossier agricole,Yes,Yes,31-40%,41-50%,No,21-30%,"Yes, explain","Yes, explain",Nous faisons de la formation pour les bonne pratique agricole et nous faisons la certification foncière de nos producteurs membres.,"Yes, explain",Nous faisons de la production écologique. ,35.0,0,0,1,1,0,0,,
272,Married,University,1951,Côte d'Ivoire,,Family-Led SME,,Between 6 months and a year ,,"Entreprise de type privé animé par un responsable de production. La structure fait principalement la transformation du manioc en atieke et en farine de placali qu'elle commercialise. Elle envisage diversifier ses produits ( gari, atieke deshydraté, farine...) et transformer les dechets liquides et solides.",Abidjan ,,No,No,,"Local Markets ,International Markets",Between 25 and 50 millions,Transformation du manioc et produits dérivés,No,,proprietaire,Oui,Entreprise individuelle,"Déclaration fiscale d'existence DFE,Registre de commerce",Affilié a la filiere manioc du FIRCA,Producteurs locaux de la region de la Marahoué.,Restaurateurs d'Abidjan suivant un contrat verbal.,No,Produits acheminés par une compagnie de transport de cars.,Inexistance d'un marche organisé. Difficulte d'acces à des banques de donnée.,"Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",,,,,,,,,,,,,,,,,,Yes for personal and business expenditures,Daily,,,,,,,,,,,,,,,,,,,,4.0,0,0,0,0,1,0,40.0,
273,Married,High School ,1959,Côte d'Ivoire,,Cooperative,5.0,"More than 3, specify",5.0,production manioc frais  et transformation en d'attiéké et placali,"Other, specify",Aboisso,No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",culture,présidente,Oui,kanbonou,Statuts et règlements intérieurs,kanbonou,les femmes de la coopératives,les révendeuses,No,location de véhicules,le prix est d'achat est intable et main d'oeuvre couteuse,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment)",Between 1 and 5 millions,"January ,February ,March ",Between one and 3 years ,Every year,Logistics,No,,,,,,,No,,Passive,8,"l'argent est en sécurit""é",Yes for personal expenditures,,Other :,conserver l'argent,Passive,8,utilisation simple,No,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,Yes,Yes,More than 90%,More than 90%,Yes,More than 90%,No,"Yes, explain",les femmes deviennent autonomes financièrement,"Yes, explain",,50.0,0,0,1,0,1,0,500000.0,5000000.0
274,Single,University,1964,Côte d'Ivoire,,Family-Led SME,2.0,"More than 3, specify",13.0,"Unité semi- industrielle de transformation de tubercules de manioc en attieké, farine et pâte fermentée",Yamoussoukro ,,No,No,,Regional Markets ,Between 25 and 50 millions,Cassava,No,,directeur,Oui,SARL,"Statuts et règlements intérieurs,Déclaration fiscale d'existence DFE,Registre de commerce",Aucune,Aucun,"Faso attieké./ Burkina Faso
Un contrat d'achat",Yes,Tricycle. Camion Daf 10 tonnes,Insuffisance de matière. Coût trop élevé de production dû au coût élevé de la matiere première quand elle existe,"Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 5 and 25 millions,April ,Between one and 3 years ,Every trimester,Charges ,Yes,25000000,"Leasing (equipment, transport/logistics) ",Interest rate,17,,,Yes,COOPEC ,Detractor,6,Procédures inadapté à notre activité,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay producers/ farmers,Pay business suppliers",,Promoter,9,Rapide fiable,,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,No,31-40%,31-40%,Yes,More than 90%,No,"Yes, explain",Ltout le personnel journalier sont des femmes du quartier. Ce qu'elle gagné sert au déjeuner de leurs enfants qui fréquentent le groupe scolaire de l'autre côté de la rue.,"Yes, explain",Nous voulons servir de conseil et d'agregateurs pour toutes les organisations productrices de manioc,9.0,0,0,0,0,1,0,48.0,20.0
275,Married,Primary,1977,Côte d'Ivoire,,Cooperative,12.0,"More than 3, specify",9.0,nous faisons le travail en équipe et vendons le Manioc et le maraicher,Abidjan ,,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,"Yes, specify",,,Oui,Societe Cooperative,"Statuts et règlements intérieurs,Déclaration fiscale d'existence DFE,Registre de commerce",FENASCOVICI,les commerçants locaux,les marchés locaux et régionaux,Yes,nous allons chercher les produits bord champs avec les véhicules KIA et les tricycles pour les acheminer vers les points de stockage pour le chargement du camion,l'instabilité des prix,Agri - Equipment (financing for equipment),Between 5 and 25 millions,"September ,October ",More than 3 years,Every year,Inputs,No,,,,,,,Yes,BANQUE POPULAIRE,Detractor,5,les banques n'aident pas le secteur du vivrier,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Pay business suppliers",,Promoter,10,"rapidité, fiabilité et spontanéité",,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,No,<10%,41-50%,Yes,41-50%,No,"Yes, explain",nous posons des actions sociales en faisant des dons dans les maternités et les écoles,No,,120.0,0,0,1,0,0,0,25.0,25.0
276,Single,Primary,1975,Côte d'Ivoire,,Cooperative,115.0,"More than 3, specify",5.0,"coopérative avec conseil d'Administration, nous vendons le Manioc et l'anacarde","Other, specify",MANKONO,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,No,,président,Oui,Societe Cooperative,"Statuts et règlements intérieurs,Déclaration fiscale d'existence DFE,Registre de commerce",FENASCOVICI,FIRCA,les marchés locaux,No,la location de véhicule,manque d'évacuation par faute de moyen,"Agri - Equipment (financing for equipment),Leasing (equipment, transport/logistics) ",Between 5 and 25 millions,March ,Between one and 3 years ,Every semester,Labor ,No,,,,,,,Yes,NSIA Bank,Passive,8,"nous avons confiance, mais l'octroie du crédit devient très difficile",Yes for personal and business expenditures,Weekly ,"Transfer money,Pay producers/ farmers",,Promoter,10,rapidité et fiabilité,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,No,<10%,51-60%,No,51-60%,No,"Yes, explain",réduction du taux de chômage en donnant du travail aux femmes,No,,115.0,0,0,1,0,1,0,25.0,20.0
277,Single,Primary,1974,Côte d'Ivoire,,Cooperative,63.0,"More than 3, specify",8.0,"nous fonctionnons selon les principes coopératifs et vendons le Mais, Manioc, la noix de cajou",Agnibilékrou,,No,No,,Local Markets ,Between 5 and 25 millions,ANACARDE,No,,,Oui,Societe Cooperative,"Statuts et règlements intérieurs,Déclaration fiscale d'existence DFE,Registre de commerce",FENASCOVICI,les commerçants locaux,les marchés locaux,No,nous louons le camion,manque de moyen pour la promotion des produits et manque de financement,"Agri - Equipment (financing for equipment),Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides)",Between 5 and 25 millions,"June ,July ,August,September ,October ",Between one and 3 years ,Every trimester,Inputs,No,,,,,,,Yes,Banque Populaire,Passive,8,il y a moins de risque en y gardant son argent pour éviter les détournements de fonds dans la coopérative,Yes for personal and business expenditures,Monthly ,"Pay bills,Pay producers/ farmers",,Passive,8,moyen rapide pour avoir son argent et la sécurité par les codes secrets,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,No,<10%,10-20%,Yes,10-20%,No,"Yes, explain",la coopérative aide les producteurs en période de rentrée scolaire en prêt et intrants,No,,353.0,0,0,1,0,0,0,23.0,20.0
278,Single,University,1989,Côte d'Ivoire,,Interprofession ,6.0,"More than 3, specify",,"Production, création, suivi et assistance agricole",Daloa,,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Anacarde,"Yes, specify",banane,directeur,Non,,Aucun document,,Particulier,Coopérative et particuliers,No,Tricycle (moto),Logistique,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides)",Between 5 and 25 millions,August,Between 3 months and a year,Every trimester,Logistics,No,,,,,,,Yes,COOPEC ,Passive,7,Un peu confiance pour la sécurité mais elle n'ont pas trop confiance pour les prêts,Yes for personal and business expenditures,Monthly ,Transfer money,,Detractor,6,Rapide et accessible et facile à faire,,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,No,10-20%,10-20%,No,41-50%,No,"Yes, explain",Permet l'évacuation et l'indépendance des personnes en zone rurale,No,,,0,0,1,0,0,1,15.0,16.0
279,Married,University,1985,Côte d'Ivoire,,Other,1.0,"More than 3, specify",36.0,"Notre société a pour objet directement ou indirectement en tout pays et particulièrement en République de Côte d’Ivoire :  Etudes, formation et renforcement des capacités ;  Conseil en production animale et végétale ; Appui, conseil et encadrement des coopératives agricoles et des producteurs ; Montage de projets agricoles ; Vente de produits bio, de semences et matériel agricole ; Prestations diverses.","Other, specify",Korhogo,No,No,,Local Markets ,Between 1 and 5 millions,PRODUCTION VEGETALE ET ANIMALE,"Yes, specify",culture,directeur,Oui,SARL,"Statuts et règlements intérieurs,Déclaration fiscale d'existence DFE,Registre de commerce,Autres",ETABLISSEMNT CANAAN AGRI,"Producteurs locaux
Les producteurs locaux nous fournissent leur produit","GRANDS RESTAURANTS ET CONSOMMATEURS
Lorsque, nous produisons nos produits sont directement proposés aux consommateurs.",No,Nous louons des camions et tricycles pour le transport des produits achetés.,"Manque de moyens financiers et d'engins pour le transport des produits.
Pas de circuit de commercialisation ou réseautage","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides),Insurance",Between 25 and 50 millions,March ,More than 8 years,Every year,Logistics,No,,,,,,,Yes,Bank of Africa ,Detractor,5,Elle garde les secrets ,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay business suppliers",,Detractor,5,"En cas de soucis, on retrace ",,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,Yes,No,21-30%,31-40%,Yes,Less than 10%,No,"Yes, explain",actions sociales,"Yes, explain",Utilisation des produits biologiques,,0,0,1,0,1,1,500000.0,50.0
280,Widowed,Primary,1960,Côte d'Ivoire,,Cooperative,5.0,"More than 3, specify",7.0,"C est une société coopérative de production  vivrière, et de négoce sur les produits agricoles de rente tel aue l hévéa et le palmier a huile","Other, specify",ABOISSO,No,No,,"Local Markets ,Regional Markets ",Between 25 and 50 millions,Cassava,"Yes, specify",production,presidente,Oui,Societe Cooperative,"Statuts et règlements intérieurs,Déclaration fiscale d'existence DFE,Registre de commerce",UNION DES SOCIETE COOPERATIVES DU VIVRIER ET ELEVAGE DU SUD COMOE,FERTIBIO - Engrais Bio,Ex FENACOVICI OU LES FEMMES GOURO D ADJAME,No,"LOVATION DE VEHICULE POUR LES ACHATS BORD CHAMP ET LIVRAISON DE PRODUITS FINIS. NOUS UTILISONS LES TRICYCLES, LE MINI CAMION KIA, ",BFR - MOYENS DE TRANPORTS PROPRES - CIRCUIT FORMEL DE DISTRIBUTION,"Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 25 and 50 millions,March ,Between one and 3 years ,Every trimester,Logistics,No,,,,,,,Yes,SIB,Promoter,10,LA CONFIANCE AUX INSTITUTIONS FINANCIERE RESIDE DANS LE FAITE SANS LEUR APPUI FINANCIER LE DEVELOPPEMENT EST DIFFICILE. ELLES PERMETTENT AUSSI DE MIEUX SE STRUCTURER ET DISCIPLINER LA GESTION,Yes for personal and business expenditures,Weekly ,"Pay bills,Pay producers/ farmers,Pay business suppliers",,Promoter,10,"CELA PERMET DE SURISER LES ENVOIS, DONC MOINS DE RISQUE SUR LE PLAN SECURITAIRE. CELA DONNE AUSSI L ASSURANCE D ATTEINDRE SON INTERLOCUTEUR DIRECTEMENT SANS INTERMEDIAIRE","COOPEC, + DE 150 FEMMES","Technical assistance, Coaching, Mentoring",Epargne et bancarisation agricole ,Yes,Yes,51-60%,61-70%,No,71-80%,"Yes, explain","Yes, explain","DON DE KITS SCOLAIRES AUX MEMBRES VEUVES POUR LEURS ENFANTS
- PROJET DE CREATION D UN CENTRE DE LA PETITE ENFANCE AUX ABORDS DES MARCHES","Yes, explain",RSTIONNSLISATION DES PARCELLES CULTIVABLES - UTILISATION DE L ENGRAIT BIO,258.0,1,0,1,1,0,0,37000000.0,
281,Married,University,1,Côte d'Ivoire,,Exporters,3.0,"More than 3, specify",,b,Abidjan ,,No,No,,"Local Markets ,Regional Markets ,International Markets",Between 5 and 25 millions,Cassava,No,,,Oui,,"Déclaration fiscale d'existence DFE,Registre de commerce,Aucun document",n,"n,",bn,No,t,gh,"Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Trade finance for export ",Between 5 and 25 millions,"April ,May ,June ",Between one and 3 years ,Every trimester,Labor ,Yes,300,,Interest rate,,,,Yes,credafrique,Promoter,9,f,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills",,Passive,8,c,,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,No,More than 90%,More than 90%,No,21-30%,"Yes, explain","Yes, explain",n,"Yes, explain",b,15.0,0,0,0,0,1,0,12.0,
282,Single,University,17/12/1982,Côte d'Ivoire,,Women-Led SME,5.0,Between 3 and 6 months ,,Fournitures de mets aux particuliers et entreprises,Abidjan ,,No,No,,Local Markets ,Between 1 and 5 millions,Fournitures de mets,"Yes, specify",vivriers,fournisseur,Oui,SARL,"Statuts et règlements intérieurs,Registre de commerce",FPTM,FTPM,FTPM,No,Location de trycicles et camions,"La production, le transport de la production.","Agri Cash (liquidities),Operational loan (working capital) ",Between 1 and 5 millions,"January ,February ,March ,April ,May ,June ",Between 1 and 3 months,Every year,Logistics,No,,,,,,,Yes,BICICI,Passive,8,Plus de sécurité.,Yes for personal and business expenditures,Monthly ,Transfer money,,Passive,8,Plus rapide et sécurisant.,,"Technical assistance, Coaching, Mentoring",Epargne et bancarisation agricole ,No,Yes,61-70%,61-70%,No,51-60%,"Yes, explain","Yes, explain",Créer de l'emploi et nourrir convenablement la population.,"Yes, explain",Nous essayons de produire sur des parcelles à la hauteur de nos moyens. Et faisons l'effort d'évacuer toutes nos productions.,10.0,1,0,1,0,0,0,,
283,Single,University,1988,Côte d'Ivoire,,Women’s association ,13.0,3,,notre groupement de femmes comporte 30 membre et nous cultivons nous même le manioc et le vendons sur le marché local vu la petite superficie de notre parcelle. Et prévoyons faire d'autres cultures comme le maraicher et commencer à légaliser,"Other, specify",AKOUPE,No,No,,Local Markets ,Less than 1 million,Cassava,,,,Non,,Aucun document,SCOOPS-CCA,ANADER,LE MARCHE LOCAL,No,Nous sommes sous la tutelle d'une société coopérative qui met à notre disposition un camion à moindre cout,PAS DE PROBLEME POUR LE MOMENT,"Agri Cash (liquidities),Agri - Equipment (financing for equipment)",Between 5 and 25 millions,"June ,October ",More than 3 years,Every trimester,Inputs,No,,,,,,,No,,Detractor,6,on leur fait confiance parce qu'il sont les seules à nous aider financièrement. mais aussi il y en a qui disparaissent très rapidement,Yes for personal expenditures,Weekly ,Transfer money,,Detractor,6,on leur fait confiance parce que c'est rapide et il ya des traces des transactions et ca peut être annulé en cas d'erreur. par contre pas de confiance à cause des arnaqueurs,No,"Technical assistance, Coaching, Mentoring",Constitution d’un dossier agricole,Yes,Yes,10-20%,21-30%,Yes,21-30%,No,"Yes, explain",,"Yes, explain",,30.0,0,0,1,0,0,0,700000.0,7000000.0
284,Married,University,1975,Côte d'Ivoire,,Family-Led SME,3.0,"More than 3, specify",16.0,Notre entreprise est spécialisée dans la production et la commercialisation de produits dérivés de manioc (attiéké et placali frais et déshydraté et farine ) et des produits dérivés de céréal (farine et bouillie de mil et mais),Abidjan ,,No,No,,"Local Markets ,Regional Markets ,International Markets",Between 25 and 50 millions,Cassava,"Yes, specify",céréal,,Oui,Entreprise individuelle,"Déclaration fiscale d'existence DFE,Registre de commerce,Aucun document",,"nos principaux fournisseurs se trouvent dans le marché de manioc de Abobo - Samaké et d'Adjamé. Nous passons les commandes et nous sommes livré le lendemain. car nos fournisseurs disposent de réseaux performants de producteurs de manioc sur l'ensemble du pays.
Nous sommes ainsi dispensés de pénurie de matière première quelques soit la saison","Nos principaux acheteurs sont situés en Europe précieusement en France, en Italie et en Luxembourg qui commande chaque semaine.
Celui du canada et de l’Afrique ont des fréquentes différentes
Au plan local nos principaux clients sont des individus et ceux institutionnels sont les cantines et restaurant
avec beauc",No,Nous faisons la livraison en fonction de la commande soit en taxi soit par bâché. ,"au plan local nous ne disposant pas de véhicule de livraison notre capacité pour conquérir et répondre aux marché est difficile malgré les nombreux offres car le transport nous reviens excessivement cher par taxi ou bâché.
Aussi le problème financier pour préfinancer la production","Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Trade finance for export ,Insurance",Between 5 and 25 millions,"February ,March ,April ,October ,November ,December",Between one and 3 years ,Every month,Charges ,Yes,3000000,,,,,,Yes,BNI Banque Nationale d’Investissement ,Passive,8,elle finance,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ",,Promoter,9,nous faisons confiance au mobile money car elles sont fiables et séurisées,,"Technical assistance, Coaching, Mentoring",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,Yes,No,81-90%,81-90%,Yes,21-30%,"Yes, explain","Yes, explain",la situation sociale de nos employés est de mieux en mieux reluisante. Nous expérimentons l'installation de femmes pour la vente rapprochées sur des sites de ventes pour aider à l'insertion.,"Yes, explain","Nous disposons de partenarait solide avec nos fournisseurs qui nous garantissent une production pérenne. 
le projet d'installation de vendeurs constitue pour nous une espérance dans la continuité de notre activité   ",18.0,1,0,0,0,1,0,12.0,
285,Widowed,None ,1961,Côte d'Ivoire,,Cooperative,25.0,"More than 3, specify",9.0,"Scoop fg est dans région de gbékê, spécialisée dans la production des vivrier",Bouaké ,,Yes,No,,Local Markets ,Between 50 and 100 millions,Cassava,"Yes, specify",marraiche,présidente,Oui,Societe Cooperative,"Statuts et règlements intérieurs,Déclaration fiscale d'existence DFE,Registre de commerce",Fenascovici,Fenascovici,Fenascovici,No,On loue les camions,Pas moyen de déplacement ,"Agri - Transport (financing for vehicle),Product financing (fertilizers, seeds, pesticides),Trade finance for export ",Between 5 and 25 millions,"May ,June ",Between one and 3 years ,Every trimester,Logistics,No,,,,,,,Yes,Finel,Detractor,6,La confiance n'est pas total car ils nous ont bcp mélange,Yes for personal and business expenditures,Weekly ,"Transfer money,Pay bills,Pay producers/ farmers,Pay business suppliers",,Passive,8,Car avec eux l'argent arrivé a bon port,Avec,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,Yes,Yes,71-80%,71-80%,Yes,61-70%,No,"Yes, explain",Donne du travail a la population,"Yes, explain",On a de bon semences,60.0,0,0,1,0,0,0,60.0,10.0
286,Married,University,1959,Côte d'Ivoire,,Cooperative,475.0,"More than 3, specify",11.0,"nous travaillons selon les principes coopératifs, et vendons le manioc, riz, huile de palme le placali et le maraicher","Other, specify",nous vendons dans les villes de la région du Tonkpi,No,No,,"Local Markets ,Regional Markets ",Between 25 and 50 millions,Cassava,"Yes, specify",placali,présidente,Oui,Societe Cooperative,"Statuts et règlements intérieurs,Déclaration fiscale d'existence DFE,Registre de commerce",FENASCOVICI,les commerçants locaux,les marchés locaux et régionaux,No,nous louons le camion pour transporter nos produits,le manque de véhicule de transport,"Operational loan (working capital) ,Leasing (equipment, transport/logistics) ",Between 5 and 25 millions,March ,Between 1 and 3 months,Every year,Logistics,No,,,,,,,Yes,COOPEC ,Promoter,9,les banques sécurisent notre argent et nous avons des possibilités d'avoir des prêts,Yes for personal and business expenditures,Daily,Transfer money,,Promoter,9,fiabilité et rapidité,No,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,81-90%,81-90%,No,51-60%,"Yes, explain","Yes, explain","source de nourritures pour des foyers, nous faisons des dons et des actions sociales",No,,805.0,0,0,1,0,0,0,35.0,25.0
287,Single,Primary,1957,Côte d'Ivoire,,Cooperative,15.0,"More than 3, specify",5.0,"le comité de gestion travaille en collaboration avec la commission de surveillance, nous vendons le manioc et le maraicher",Abidjan ,,No,No,,Local Markets ,Between 5 and 25 millions,Manioc et l'hévéa,"Yes, specify",piment,président,Oui,Societe Cooperative,"Statuts et règlements intérieurs,Déclaration fiscale d'existence DFE,Registre de commerce",FENASCOVICI,les commerçants locaux,les marchés locaux,No,la location de camion pour le transport des produits,les structures financières posent des conditions difficiles a remplir,"Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ",Between 25 and 50 millions,January ,More than 3 years,Every year,Logistics,No,,,,,,,No,,Passive,8,conservation et sécurisation des fonds,Yes for personal and business expenditures,Daily,"Transfer money,Pay business suppliers",,Passive,8,rapidité et disponibilité,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,No,10-20%,61-70%,No,61-70%,No,"Yes, explain",source de revenu pour la population et nous posons des actions sociales,No,,150.0,0,0,1,0,0,0,15.0,50.0
288,Single,Primary,1981,Côte d'Ivoire,,Cooperative,197.0,"More than 3, specify",6.0,"La SCOPCOVI-CI est une société coopérative agricole de production, de transformation et de distribution de produits vivriers. Elle est constituée à 90% de femmes, avec deux catégories de membres: les productrices et les vendeuses. Nous produisons le manioc, les aubergines, le piments, le gombo et la tomate principalement. Nous les vendons en l'état, sauf le manioc dont nous transformons une partie en placali et en attiéké. Nos productrices sont regroupés en section selon leurs localités. chaque section est dirigée par 3 déléguées élues par l'assemblée de section. Les vendeuses constituent elles aussi une section. La société coopérative est dirigée par un conseil d'administration de trois membres et controlée par un conseil de surveillance de trois membres.","Other, specify",San Pedro,No,No,,Local Markets ,Between 50 and 100 millions,Cassava,"Yes, specify",aubergine,présidente,Oui,Societe Cooperative,"Statuts et règlements intérieurs,Déclaration fiscale d'existence DFE,Registre de commerce",FENASCOVICI,Nos principaux fournisseurs sont nos membres productrices. Nos spéculations sont produites par nos membres dans les sections et acheminées sur le marché de San Pedro ou les vendeuses les vendent.,Le marché local de San Pedro.,Yes,"Nous avons un tricycle qui transporte les produits des plantation au marché. pour les grandes quantités, nous louons des camionnettes pour l'évacuation.   ","1- Pas de camionnettes propres à nous, d'où retard dans les évacuations en périodes de grande production et pourrissement des produits.
2- Pas de moyen de conservation des produits frais, d'où pourrissement d'au moins un tiers de notre production.
3- Fonds de roulement insuffisant, d'où les difficultés d'accès aux semences de bonne qualité, aux intrants et aux moyens de production surtout en ce qui concerne la maitrise de l'eau pour la production.","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides)",Between 25 and 50 millions,"August,September ,October ",Between one and 3 years ,Every month,Inputs,No,,,,,,,No,,Passive,8,Nous faisons confiance aux institutions financières parce que nous savons que le secteur est régulé par l'état et aussi par expérience. Nous travaillons avec des institutions financières dans d'autres domaines et tout se passe très bien.,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay producers/ farmers,Pay business suppliers",,Passive,8,"Nous faisons confiance aux services de mobile money parce que depuis que nous utilisons ces services, tout se passe très bien.",Zoumandanhin (62 femme). ,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,Yes,More than 90%,More than 90%,No,More than 90%,"Yes, explain","Yes, explain","La société coopérative a regroupé les femmes des villages où elle est implantée. Elles regroupent leurs moyens de production, de transport et leur donne un système de commercialisation rentable. Elle épargne à travers des AVEC dans les villages. Leurs niveaux de vie s'est nettement amélioré.","Yes, explain","La société coopérative est constituées de deux types de membres. Il y a les productrices et les vendeuses. Au niveau de la production, la société coopérative regroupe les moyens de production(Achat de semence  et d'intrants de bonne qualité, utilisation de motopompe, etc), de transport(tricycle). Les productions sont livrées aux vendeuses, membres de la société coopérative, le tout dans un système fluide déjà éprouvé. Les productrices sont formées aux Bonnes Pratiques Agricoles par la société coopérative. ",257.0,1,0,1,0,1,0,68.0,50.0
289,Widowed,High School ,05 02 1971,Côte d'Ivoire,,Women’s association ,,"More than 3, specify",,,Yamoussoukro ,,Yes,"Yes, specify",,"Local Markets ,Regional Markets ",Less than 1 million,,"Yes, specify",,présidente,Non,,"Statuts et règlements intérieurs,Registre de commerce,Aucun document",Plate forme manioc de la région du belier,,Nous vendons sur le marché local,No,Location,Oui,"Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides),Insurance",Between 1 and 5 millions,April ,Between one and 3 years ,Every year,Other,No,,,,,,,Yes,COOPEC ,Passive,8,,Yes for personal and business expenditures,Weekly ,"Pay bills,Pay employees ,Other :",,Promoter,10,Fiable et rapide,No,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,Yes,,,,No,,No,"Yes, explain",,"Yes, explain",,30.0,0,0,1,0,0,0,,
